Observed,Trend,Seasonal,Residual
101028.0,101046.11999999998,-0.09153011638537212,-18.02846988359542
101028.0,101047.98,-2.9470706569260776,-17.03292934306985
101020.0,101049.49000000002,-3.6349760623314675,-25.855023937688323
101038.0,101050.87,-2.1738949812493678,-10.696105018745975
101036.0,101052.28,-2.28909768395268,-13.990902316046157
101043.0,101053.48000000001,-1.6293003866557172,-8.85069961335476
101050.0,101054.71999999999,-3.4877463326017812,-1.232253667384831
101042.0,101056.06000000001,-3.283151738006801,-10.776848262005423
101031.0,101057.19,-5.086049479806725,-21.103950520195603
101039.0,101058.31999999999,-2.7827003379867623,-16.537299662005672
101055.0,101059.71000000002,-2.0196603127626105,-2.6903396872583443
101059.0,101060.84000000001,-0.61136049243296,-1.2286395075780994
101061.0,101061.53000000001,0.7700936903139695,-1.3000936903273572
101054.0,101062.26000000001,1.5288633093025177,-9.78886330931183
101071.0,101062.97000000002,0.40152554574093324,7.628474454243351
101108.0,101063.79000000001,2.709758251980214,41.50024174801164
101080.0,101064.69,2.4693332400941967,12.840666759903474
101066.0,101065.0,2.795015610761874,-1.7950156107618742
101066.0,101065.25,3.115261739816974,-2.365261739816974
101071.0,101065.64,4.388662231288306,0.9713377687122762
101082.0,101065.90000000001,0.9566935952420392,15.143306404749229
101085.0,101066.50000000001,1.4372752947682033,17.062724705217246
101071.0,101066.88,2.0391992761732807,2.0808007238220627
101097.0,101066.8,3.2995125193220938,26.900487480674997
101088.0,101066.58000000002,0.76801368193451,20.651986318049193
101087.0,101066.81000000001,1.561279945218161,18.628720054769616
101090.0,101067.57,1.4027341279648522,21.027265872028163
101071.0,101068.39000000001,2.6627118006465818,-0.05271180066055159
101078.0,101069.36000000002,0.6701391377558572,7.969860862229009
101074.0,101070.05000000002,0.38783493124059243,3.5621650687419453
101074.0,101070.56,1.6503629394907722,1.7896370605115561
101076.0,101071.04000000001,1.4577902766011022,3.5022097233907488
101082.0,101071.87000000002,2.98937868753592,7.140621312439633
101075.0,101072.88999999998,1.6210488946785868,0.4889511053365472
101087.0,101073.65,1.1092988963020993,12.24070110370372
101096.0,101074.29000000001,-0.3856517380063959,22.095651737998246
101076.0,101074.81000000001,0.1781996133442475,1.0118003866435288
101074.0,101075.25,1.6238077214524345,-2.8738077214524345
101075.0,101075.74,-0.3025436298988581,-0.4374563701063806
101072.0,101076.12000000001,1.3767806944247347,-5.49678069443463
101085.0,101075.76999999999,-0.14909768395237727,9.379097683962854
101072.0,101075.46999999999,-1.0880841704387731,-2.381915829547839
101055.0,101075.78000000001,-1.3798409271979408,-19.40015907281545
101072.0,101076.29000000001,-1.8398409271959864,-2.4501590728121627
101054.0,101076.90000000001,-1.6344355217894404,-21.26556447821929
101061.0,101077.28,-2.4730841704398276,-13.806915829559008
101088.0,101077.45000000001,-1.562813900168566,12.112813900156924
101061.0,101077.86,-1.7868679542222503,-15.073132045778332
101060.0,101078.28,-0.802138224493665,-17.477861775505172
101055.0,101078.65,-1.9296382244926504,-21.72036177550153
101071.0,101079.06,-0.09153011638537212,-7.9684698836123
101061.0,101079.31000000001,-2.9470706569260776,-15.362929343086146
101069.0,101079.73000000001,-3.6349760623314675,-7.095023937679009
101086.0,101080.43999999999,-2.1738949812493678,7.733894981261591
101057.0,101081.37000000001,-2.28909768395268,-22.080902316057216
101073.0,101081.99,-1.6293003866557172,-7.360699613349522
101068.0,101082.09,-3.4877463326017812,-10.602253667394727
101107.0,101081.75,-3.283151738006801,28.5331517380068
101068.0,101081.04999999999,-5.086049479806725,-7.963950520181633
101078.0,101080.66,-2.7827003379867623,0.12270033798326985
101080.0,101080.62000000002,-2.0196603127626105,1.3996603127381633
101086.0,101080.57,-0.61136049243296,6.041360492425975
101078.0,101080.59,0.7700936903139695,-3.360093690310477
101086.0,101080.10999999999,1.5288633093025177,4.361136690711453
101077.0,101079.42,0.40152554574093324,-2.821525545739187
101067.0,101079.03000000001,2.709758251980214,-14.739758251993601
101091.0,101078.43000000001,2.4693332400941967,10.100666759898235
101086.0,101077.87000000001,2.795015610761874,5.3349843892282305
101097.0,101077.35,3.115261739816974,16.534738260177207
101101.0,101076.89,4.388662231288306,19.721337768712274
101090.0,101076.64,0.9566935952420392,12.403306404758542
101094.0,101076.26000000001,1.4372752947682033,16.302724705222484
101103.0,101075.62,2.0391992761732807,25.340800723831375
101107.0,101074.89,3.2995125193220938,28.81048748067849
101115.0,101074.33000000002,0.76801368193451,39.90198631804919
101101.0,101073.76000000001,1.561279945218161,25.678720054772526
101101.0,101073.06,1.4027341279648522,26.537265872037477
101102.0,101072.17,2.6627118006465818,27.167288199355163
101118.0,101071.03,0.6701391377558572,46.29986086224531
101127.0,101070.05000000002,0.38783493124059243,56.56216506874195
101083.0,101069.01000000002,1.6503629394907722,12.339637060485362
101077.0,101067.91,1.4577902766011022,7.632209723395405
101047.0,101066.56999999999,2.98937868753592,-22.55937868752835
101040.0,101064.81999999999,1.6210488946785868,-26.44104889467102
101083.0,101063.32,1.1092988963020993,18.570701103690915
101096.0,101061.99000000002,-0.3856517380063959,34.395651737986604
101071.0,101060.55000000002,0.1781996133442475,10.27180038663829
101081.0,101059.29,1.6238077214524345,20.08619227855397
101020.0,101058.07999999999,-0.3025436298988581,-37.77745637008834
