seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff
2014,175394,41063,100591,-59.06406800469586,30.82277963806077,16.0
2015,175425,41061,100605,-60.20589111600013,44.36909939866562,31.0
2016,175447,41060,100640,-61.13625703132104,79.09754988102024,22.0
2019,175491,41062,100618,-58.73605454954956,56.56605755714628,4.0
2021,175542,41068,100631,-51.41525043141398,69.17883134636985,31.0
2022,175557,41055,100606,-64.30210184705217,44.21544159579747,15.0
2023,175572,41061,100636,-58.46626301583175,73.90205049551443,15.0
2024,175597,41074,100617,-45.4211569377998,54.49997080605267,25.0
2028,175687,41071,100642,-47.32352260337855,78.17186769668874,30.0
2029,175703,41075,100633,-42.77715763707887,68.67676721942576,16.0
2030,175719,41073,100662,-44.431778756184336,97.11826035877635,16.0
2031,175741,41057,100650,-60.24500559170894,84.54267846517705,22.0
2032,175768,41074,100650,-42.61587888504028,84.22438580451325,27.0
2033,175779,41060,100664,-56.295195260548056,97.77126642086648,11.0
2035,175814,41067,100664,-49.56589364994201,96.84300110538824,15.0
2037,175865,41069,100690,-46.71964410499065,121.3393333272855,31.0
2038,175881,41033,100687,-82.47397773450145,117.87878405654102,16.0
2039,175908,41070,100696,-45.44564041393795,126.44573713547112,27.0
2043,175984,41064,100718,-50.657864130510255,145.41890438464068,16.0
2044,176000,41072,100715,-42.52122528911753,141.50017495894434,16.0
2045,176018,41072,100715,-42.68111098322012,141.3636044865523,18.0
2046,176034,41079,100735,-35.52540969161609,160.76629016840985,16.0
2047,176056,41075,100716,-39.16078018002034,141.02545740278467,22.0
2050,176120,41077,100722,-36.233560149650174,144.41564298671415,24.0
2051,176136,41079,100723,-33.95822569265721,144.6065368297473,16.0
2052,176152,41077,100711,-36.55597612546804,132.07727054238543,16.0
2053,176183,41085,100697,-28.20162728653616,117.51881989205864,31.0
2054,176194,41073,100694,-40.06529235207999,113.82339756784496,11.0
2059,176305,41062,100697,-49.54007065203342,113.99076700833062,31.0
2060,176321,41083,100679,-28.52234468462832,95.45511286922267,16.0
2061,176346,41054,100698,-57.22220198192506,113.9248658081916,25.0
2062,176372,41066,100701,-44.84310712945207,116.37535446896968,26.0
2065,176428,41061,100693,-49.64279680296488,106.78037708912944,16.0
2066,176444,41068,100626,-41.42878463997077,39.54858847128926,16.0
2067,176460,41059,100706,-50.53286469858264,118.8289253864054,16.0
2068,176476,41067,100703,-42.499253982599605,115.4576037578035,16.0
2069,176500,41050,100702,-59.48014235460492,113.81977495403218,24.0
2070,176513,41053,100719,-56.33808946034418,130.11887309196115,13.0
2074,176594,41056,100719,-51.24884743486149,127.41883897097266,21.0
2076,176633,41060,100720,-47.81295766986489,127.44266005405642,19.0
